,A7,B5,B8,C4,E3,E4
Abra nitida,0,0,0,0,0,0
Acarina sp,0,0,0,0,0,0
Acanthocardia echinata,0,0,0,0,0,0
Acmaea testudinalis,0,0,0,0,0,0
Ampharete acutifrons,0,0,0,0,0,0
Ampharete sp,0,0,0,0,0,0
Amphipoda sp,0,0,0,0,4,0
Amphipoda ungv.,0,0,0,0,0,0
Ampharetidae,0,0,0,0,0,0
Ampharete acutifrons,0,0,0,0,0,0
Amphitrite affinis,0,0,0,0,0,0
Amphitrite cirrata,0,0,0,0,1,0
Anthozoa,0,0,0,0,0,0
Apistobranchus tullbergi,0,0,0,0,4,4
Arctica islandica,0,0,0,0,0,4
Arenicola marina,0,0,0,1,0,0
Arenicola marina ungviði,0,0,0,0,0,0
Aricidea suecica,4,0,0,0,0,4
Ascidiacea sp,0,0,0,0,0,0
Astarte borealis,0,0,0,0,0,0
Asteroidea,0,0,0,0,0,0
Axionice maculata,0,0,0,0,0,0
Balanus,0,0,0,100,0,0
Balanus nýsestir,0,0,0,0,0,0
Bivalvia sp.,0,0,4,0,0,0
Brada inhabilis,0,0,0,0,0,0
Brada villosa,0,0,0,0,0,0
Bryozoa,0,0,0,0,0,0
Buccinum undatum,0,0,0,0,0,0
Cardidae juv,0,4,0,4,0,0
Campanulariidae,0,0,0,0,0,0
Capitella capitata,0,4,0,0,0,0
Caprellidae,0,0,0,0,0,0
Cerastoderma ovale,0,0,0,0,0,0
Chaetozone setosa,0,16,4,53,47,65
Cirratulus cirratus,0,4,0,4,21,0
Clinocardium cillaturn skilaði engum niðurstöðum. ,0,0,0,0,0,0
Collembola STÖKKMOR Í SJÓ?,0,0,0,0,0,0
Corophium bonnellii,0,0,0,0,0,0
Cossura longocirrata,0,0,0,0,0,8
Cossura pygodactylata,0,0,0,0,0,0
Crenella sp,4,0,0,4,0,0
Cumacea sp,0,0,0,0,0,0
Cycloterus lumpus,0,0,0,0,0,0
Dodecaceria concharum,0,0,0,0,0,0
Dexamine thea,0,0,0,0,0,0
Ennucula tenuis,0,12,0,0,4,0
Eteone longa ,6,10,6,50,18,20
Eteone suecica,0,0,0,0,0,0
Euchone sp.,0,0,0,0,0,8
Eunoe nodosa,0,0,0,0,0,0
Eupolymnia nesidensis,0,0,0,0,0,0
Exogone hebes,0,0,0,0,0,0
