,A7,B5,B8,C4,E3,E4
Abra nitida,32,72,68,32,0,40
Acarina sp,0,0,0,0,0,0
Acanthocardia echinata,0,1,0,0,0,0
Acmaea testudinalis,0,0,0,0,0,0
Ampharete acutifrons,0,0,0,0,0,0
Ampharete sp,0,0,4,0,0,0
Amphipoda sp,0,0,12,4,5,9
Amphipoda ungv.,0,0,0,0,0,0
Ampharetidae,0,0,0,0,4,4
Ampharete acutifrons,0,0,0,0,0,4
Amphitrite affinis,0,0,0,0,0,0
Amphitrite cirrata,0,0,0,0,1,0
Anthozoa,0,0,0,0,0,0
Apistobranchus tullbergi,0,0,4,0,5,0
Arctica islandica,4,4,20,0,4,24
Arenicola marina,0,0,0,0,0,0
Arenicola marina ungviði,0,0,0,4,0,0
Aricidea suecica,12,20,0,4,4,12
Ascidiacea sp,0,0,0,0,0,0
Astarte borealis,0,0,0,0,0,0
Asteroidea,0,0,0,0,0,4
Axionice maculata,0,0,0,0,0,0
Balanus,0,0,0,0,0,4
Balanus nýsestir,0,0,0,0,0,180
Bivalvia sp.,0,0,0,0,0,0
Brada inhabilis,0,0,0,0,0,0
Brada villosa,0,0,0,0,0,0
Bryozoa,0,0,0,0,0,0
Buccinum undatum,0,0,0,0,0,1
Cardidae juv,8,12,12,0,0,4
Campanulariidae,0,0,0,0,0,0
Capitella capitata,0,0,0,0,0,0
Caprellidae,0,0,0,0,1,0
Cerastoderma ovale,0,0,0,0,0,16
Chaetozone setosa,28,24,20,96,21,8
Cirratulus cirratus,0,0,0,0,4,0
Clinocardium cillaturn skilaði engum niðurstöðum. ,0,0,0,0,0,0
Collembola STÖKKMOR Í SJÓ?,0,0,0,0,0,0
Corophium bonnellii,8,0,4,0,32,100
Cossura longocirrata,4,16,12,0,4,0
Cossura pygodactylata,0,8,0,0,0,24
Crenella sp,0,0,0,0,0,0
Cumacea sp,0,0,0,0,0,4
Cycloterus lumpus,0,0,0,0,1,0
Dodecaceria concharum,0,0,0,0,0,0
Dexamine thea,0,0,0,0,4,0
Ennucula tenuis,0,4,0,4,0,0
Eteone longa ,8,12,0,24,13,33
Eteone suecica,0,0,0,0,0,0
Euchone sp.,0,0,0,0,4,0
Eunoe nodosa,0,0,0,0,0,0
Eupolymnia nesidensis,0,0,0,0,0,0
Exogone hebes,0,0,0,0,0,0
Exogone ver(r)ugera,0,0,0,0,0,0
Flabelligera affinis,0,0,0,0,4,0
Galathowenia oculata,0,0,0,0,0,4
Gammarus sp.,0,0,0,0,0,0
Gastropoda ungv,0,0,4,0,0,4
Gattyana cirrosa,0,0,0,0,0,0
Gibbula tumida,0,0,0,0,0,0
Glycera capitata,0,0,0,0,0,0
Harmothoe sp,8,0,0,4,18,16
Harpacticoida sp.,0,4,0,0,0,16
Henricia sanguinolenta,0,0,0,0,0,0
Heteromastus filiformis,0,0,0,0,4,0
Hiatella arctica,0,0,0,0,1,16
Hyas araneus,0,0,0,0,0,0
Hydrozoa,20,4,36,0,0,4
Lacuna vincta,0,0,0,0,0,0
Lanassa venusta,0,8,0,0,20,4
Lepeta caeca,0,0,0,0,0,0
Lepidonotus squamatus,0,0,0,0,0,0
Levinsenia gracilis,0,0,0,0,0,0
Macoma calcarea,23,121,124,134,17,71
Malacoceros fuliginosus,0,0,0,0,0,0
Maldanidae sp,0,0,0,0,0,1
Margarites groenlandicus,0,0,0,0,4,0
Mediomastus filiformis kemur líka Heteromastus filiformis,0,0,0,0,1,0
